locus_tag	ftype	length_bp	gene	EC_number	COG	product
ATCC700743_00036	CDS	678	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
ATCC700743_00037	CDS	1104				hypothetical protein
ATCC700743_00038	CDS	1080				hypothetical protein
ATCC700743_00039	CDS	1602				hypothetical protein
ATCC700743_00040	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
ATCC700743_00041	CDS	312				hypothetical protein
ATCC700743_00042	CDS	1413				hypothetical protein
ATCC700743_00043	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
ATCC700743_00044	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
ATCC700743_00045	CDS	1059	mdtE			Multidrug resistance protein MdtE
ATCC700743_00046	CDS	1071	mdtA_1			Multidrug resistance protein MdtA
ATCC700743_00047	CDS	3096	swrC		COG0841	Swarming motility protein SwrC
ATCC700743_00048	CDS	747	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
ATCC700743_00049	CDS	837	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
ATCC700743_00050	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
ATCC700743_00051	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
ATCC700743_00052	CDS	1644	ddpA		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
ATCC700743_00053	CDS	1293				hypothetical protein
ATCC700743_00054	CDS	606	recR		COG0353	Recombination protein RecR
ATCC700743_00055	CDS	993				hypothetical protein
ATCC700743_00056	CDS	408				hypothetical protein
ATCC700743_00057	CDS	324			COG0718	Nucleoid-associated protein HI_0442
ATCC700743_00058	CDS	1818				hypothetical protein
ATCC700743_00059	CDS	420				hypothetical protein
ATCC700743_00060	CDS	948	nudC_1	3.6.1.22		NADH pyrophosphatase
ATCC700743_00061	CDS	306				hypothetical protein
ATCC700743_00062	CDS	864	pheA		COG0077	P-protein
ATCC700743_00063	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
ATCC700743_00064	CDS	675				hypothetical protein
ATCC700743_00065	CDS	1878				hypothetical protein
ATCC700743_00066	CDS	1869				hypothetical protein
ATCC700743_00067	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
ATCC700743_00068	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
ATCC700743_00069	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
ATCC700743_00070	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
ATCC700743_00071	CDS	453				hypothetical protein
ATCC700743_00072	CDS	363				hypothetical protein
ATCC700743_00073	CDS	918	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
ATCC700743_00074	CDS	1008				hypothetical protein
ATCC700743_00075	CDS	1602	lig	6.5.1.1		DNA ligase
ATCC700743_00076	CDS	1146				hypothetical protein
ATCC700743_00077	tRNA	76				tRNA-Thr(cgt)
ATCC700743_00078	CDS	189				hypothetical protein
ATCC700743_00079	CDS	444				hypothetical protein
ATCC700743_00080	CDS	537	sigE		COG1595	ECF RNA polymerase sigma factor SigE
ATCC700743_00081	CDS	447				hypothetical protein
ATCC700743_00082	CDS	456				hypothetical protein
ATCC700743_00083	CDS	276				hypothetical protein
ATCC700743_00084	CDS	1497				hypothetical protein
ATCC700743_00085	CDS	1260				hypothetical protein
ATCC700743_00086	CDS	243				hypothetical protein
ATCC700743_00087	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
ATCC700743_00088	CDS	1584				hypothetical protein
ATCC700743_00089	CDS	2154				hypothetical protein
ATCC700743_00090	CDS	483				hypothetical protein
ATCC700743_00091	CDS	1572	crtN	1.3.8.2		Dehydrosqualene desaturase
ATCC700743_00092	CDS	825	kynB_1	3.5.1.9		Kynurenine formamidase
ATCC700743_00093	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
ATCC700743_00094	CDS	1530	hbpA_1		COG0747	Heme-binding protein A
ATCC700743_00095	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
ATCC700743_00096	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
ATCC700743_00097	CDS	879	ddpD		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
ATCC700743_00098	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
ATCC700743_00099	CDS	600	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
ATCC700743_00100	CDS	2295	namA_1	1.6.99.1		NADPH dehydrogenase
ATCC700743_00101	CDS	774	actIII_1	1.3.1.-		Putative ketoacyl reductase
ATCC700743_00102	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
ATCC700743_00103	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
ATCC700743_00104	CDS	216				hypothetical protein
ATCC700743_00105	CDS	1149	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
ATCC700743_00106	CDS	414				hypothetical protein
ATCC700743_00107	CDS	1095	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
ATCC700743_00108	CDS	762	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
ATCC700743_00109	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
ATCC700743_00110	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
ATCC700743_00111	CDS	1290	csd_1	2.8.1.7		Probable cysteine desulfurase
ATCC700743_00112	CDS	834	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
ATCC700743_00113	CDS	852	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
ATCC700743_00114	CDS	912	dppC_1		COG1173	Dipeptide transport system permease protein DppC
ATCC700743_00115	CDS	1008	dppB_3		COG0601	Dipeptide transport system permease protein DppB
ATCC700743_00116	CDS	1599	dppA_1		COG0747	Periplasmic dipeptide transport protein
ATCC700743_00117	CDS	2028	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
ATCC700743_00118	CDS	669	prmA_1	2.1.1.-		Ribosomal protein L11 methyltransferase
ATCC700743_00119	CDS	723	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
ATCC700743_00120	CDS	1644	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
ATCC700743_00121	CDS	1494	tauR		COG1167	HTH-type transcriptional regulator TauR
ATCC700743_00122	CDS	1590	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
ATCC700743_00123	CDS	399				hypothetical protein
ATCC700743_00124	CDS	1392	srpC		COG2059	Probable chromate transport protein
ATCC700743_00125	CDS	819				hypothetical protein
ATCC700743_00126	CDS	1806	araC_1	4.2.1.25		L-arabonate dehydratase
ATCC700743_00127	CDS	450				hypothetical protein
ATCC700743_00128	CDS	1170				Iron-sulfur cluster carrier protein
ATCC700743_00129	CDS	378				hypothetical protein
ATCC700743_00130	CDS	1005				hypothetical protein
ATCC700743_00131	CDS	642				hypothetical protein
ATCC700743_00132	CDS	960	oxyR_1			Hydrogen peroxide-inducible genes activator
ATCC700743_00133	CDS	480	nuoE	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit E
ATCC700743_00134	CDS	1557	rsxC			Electron transport complex subunit RsxC
ATCC700743_00135	CDS	2916		1.17.1.9		Putative formate dehydrogenase SA2102
ATCC700743_00136	CDS	225				hypothetical protein
ATCC700743_00137	CDS	828	fdhD		COG1526	Sulfur carrier protein FdhD
ATCC700743_00138	CDS	309				hypothetical protein
ATCC700743_00139	CDS	1554	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
ATCC700743_00140	CDS	480				hypothetical protein
ATCC700743_00141	CDS	363				hypothetical protein
ATCC700743_00142	CDS	315				hypothetical protein
ATCC700743_00143	CDS	1428	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
ATCC700743_00144	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
ATCC700743_00145	CDS	969	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
ATCC700743_00146	CDS	999	potA_1	3.6.3.31		Spermidine/putrescine import ATP-binding protein PotA
ATCC700743_00147	CDS	1155				hypothetical protein
ATCC700743_00148	CDS	846	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
ATCC700743_00149	CDS	153				hypothetical protein
ATCC700743_00150	CDS	282				hypothetical protein
ATCC700743_00151	CDS	906	oxyR_2			Hydrogen peroxide-inducible genes activator
ATCC700743_00152	CDS	618				hypothetical protein
ATCC700743_00153	CDS	600				hypothetical protein
ATCC700743_00154	CDS	675	tctD_1		COG0745	Transcriptional regulatory protein tctD
ATCC700743_00155	CDS	1362	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
ATCC700743_00156	CDS	450	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
ATCC700743_00157	CDS	900	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
ATCC700743_00158	CDS	777	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
ATCC700743_00159	CDS	888				hypothetical protein
ATCC700743_00160	CDS	2454	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
ATCC700743_00161	CDS	633				hypothetical protein
ATCC700743_00162	CDS	903				hypothetical protein
ATCC700743_00163	CDS	477				hypothetical protein
ATCC700743_00164	CDS	924	ribN_1			Riboflavin transporter
ATCC700743_00165	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
ATCC700743_00166	CDS	1755		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
ATCC700743_00167	CDS	1845	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
ATCC700743_00168	CDS	345				hypothetical protein
ATCC700743_00169	CDS	528				hypothetical protein
ATCC700743_00170	CDS	471				hypothetical protein
ATCC700743_00171	CDS	1593	prfC		COG4108	Peptide chain release factor 3
ATCC700743_00172	CDS	930	dhaA_1	3.8.1.5		Haloalkane dehalogenase
ATCC700743_00173	CDS	597	acuR			Transcriptional regulator AcuR
ATCC700743_00174	CDS	1074	dadA_1	1.4.99.-		D-amino acid dehydrogenase
ATCC700743_00175	CDS	1374	aam_1	3.5.1.13	COG0154	Acylamidase
ATCC700743_00176	CDS	801	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
ATCC700743_00177	CDS	249				hypothetical protein
ATCC700743_00178	CDS	513	decR_1		COG1522	DNA-binding transcriptional activator DecR
ATCC700743_00179	CDS	486	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ATCC700743_00180	CDS	660	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
ATCC700743_00181	CDS	855				hypothetical protein
ATCC700743_00182	CDS	804				Uncharacterized protein MT2054
ATCC700743_00183	CDS	699				hypothetical protein
ATCC700743_00184	CDS	903	yedA			Uncharacterized inner membrane transporter YedA
ATCC700743_00185	CDS	993	ydjH_1	2.7.1.-	COG0524	Uncharacterized sugar kinase YdjH
ATCC700743_00186	CDS	693				hypothetical protein
ATCC700743_00187	CDS	1086				hypothetical protein
ATCC700743_00188	CDS	2280	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
ATCC700743_00189	CDS	2727	mutS		COG0249	DNA mismatch repair protein MutS
ATCC700743_00190	CDS	846	dkgB_1	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
ATCC700743_00191	CDS	390				hypothetical protein
ATCC700743_00192	CDS	2520	actP	3.6.3.4		Copper-transporting P-type ATPase
ATCC700743_00193	CDS	855	lex1	2.-.-.-	COG3306	Lipooligosaccharide biosynthesis protein lex-1
ATCC700743_00194	CDS	2802	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
ATCC700743_00195	CDS	1581	murJ		COG0728	Probable lipid II flippase MurJ
ATCC700743_00196	CDS	531				hypothetical protein
ATCC700743_00197	CDS	1302				hypothetical protein
ATCC700743_00198	CDS	1068	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
ATCC700743_00199	CDS	492				hypothetical protein
ATCC700743_00200	CDS	570	nfuA			Fe/S biogenesis protein NfuA
ATCC700743_00201	CDS	618				hypothetical protein
ATCC700743_00202	CDS	465	hmrR			HTH-type transcriptional regulator HmrR
ATCC700743_00203	CDS	387				hypothetical protein
ATCC700743_00204	CDS	954				IS1595 family transposase ISNwi1
ATCC700743_00205	CDS	543				hypothetical protein
ATCC700743_00206	CDS	180				hypothetical protein
ATCC700743_00207	CDS	384				hypothetical protein
ATCC700743_00208	CDS	501				hypothetical protein
ATCC700743_00209	CDS	1197	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
ATCC700743_00210	CDS	564	regA_1		COG4567	Photosynthetic apparatus regulatory protein RegA
ATCC700743_00211	CDS	1332	regB_1	2.7.13.3		Sensor histidine kinase RegB
ATCC700743_00212	CDS	2463				hypothetical protein
ATCC700743_00213	CDS	891				hypothetical protein
ATCC700743_00214	CDS	699				hypothetical protein
ATCC700743_00215	CDS	1332				hypothetical protein
ATCC700743_00216	CDS	948	sugA_1		COG1175	Trehalose transport system permease protein SugA
ATCC700743_00217	CDS	951	sugB_1		COG0395	Trehalose transport system permease protein SugB
ATCC700743_00218	CDS	207				hypothetical protein
ATCC700743_00219	CDS	1113	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
ATCC700743_00220	CDS	1014	ugpC_1	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ATCC700743_00221	CDS	1644	dhaK_1	2.7.1.29		Dihydroxyacetone kinase
ATCC700743_00222	CDS	603	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
ATCC700743_00223	CDS	390	dhaM	3.5.1.-		Protein-lysine deacetylase
ATCC700743_00224	CDS	303	ptsO		COG1925	Phosphocarrier protein NPr
ATCC700743_00225	CDS	1575	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
ATCC700743_00226	CDS	426				hypothetical protein
ATCC700743_00227	CDS	987	dhaK_2	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
ATCC700743_00228	CDS	231				hypothetical protein
ATCC700743_00229	CDS	1908	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
ATCC700743_00230	CDS	1083				hypothetical protein
ATCC700743_00231	CDS	2427				hypothetical protein
ATCC700743_00232	CDS	897	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
ATCC700743_00233	CDS	984				hypothetical protein
ATCC700743_00234	CDS	951				hypothetical protein
ATCC700743_00235	CDS	990				hypothetical protein
ATCC700743_00236	CDS	1173				hypothetical protein
ATCC700743_00237	CDS	1497	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
ATCC700743_00238	CDS	1023				hypothetical protein
ATCC700743_00239	CDS	1080				hypothetical protein
ATCC700743_00240	CDS	450				hypothetical protein
ATCC700743_00241	CDS	1443	fdhL_1	1.1.99.11		Fructose dehydrogenase large subunit
ATCC700743_00242	CDS	1332	ywqF	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase YwqF
ATCC700743_00243	CDS	882	exoK	3.2.1.-		Endo-1,3-1,4-beta-glycanase ExoK
ATCC700743_00244	CDS	402				hypothetical protein
ATCC700743_00245	CDS	1023				hypothetical protein
ATCC700743_00246	CDS	1125				hypothetical protein
ATCC700743_00247	CDS	153				hypothetical protein
ATCC700743_00248	CDS	300				hypothetical protein
ATCC700743_00249	CDS	516				hypothetical protein
ATCC700743_00250	CDS	1923				hypothetical protein
ATCC700743_00251	CDS	1032				hypothetical protein
ATCC700743_00252	CDS	1845	hepA_1		COG1132	Heterocyst differentiation ATP-binding protein HepA
ATCC700743_00253	CDS	249				hypothetical protein
ATCC700743_00254	CDS	678	epsL	2.-.-.-	COG2148	Uncharacterized sugar transferase EpsL
ATCC700743_00255	CDS	1260				hypothetical protein
ATCC700743_00256	CDS	600				hypothetical protein
ATCC700743_00257	CDS	735	gdhI	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
ATCC700743_00258	CDS	897				hypothetical protein
ATCC700743_00259	CDS	1314				hypothetical protein
ATCC700743_00260	CDS	828	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
ATCC700743_00261	CDS	486	acxC	6.4.1.6	COG4647	Acetone carboxylase gamma subunit
ATCC700743_00262	CDS	2205	acxB	6.4.1.6	COG0146	Acetone carboxylase alpha subunit
ATCC700743_00263	CDS	2142	acxA	6.4.1.6	COG0145	Acetone carboxylase beta subunit
ATCC700743_00264	CDS	1623	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
ATCC700743_00265	CDS	1350				hypothetical protein
ATCC700743_00266	CDS	1530	merA	1.16.1.1		Mercuric reductase
ATCC700743_00267	CDS	123				hypothetical protein
ATCC700743_00268	CDS	1275				hypothetical protein
ATCC700743_00269	CDS	1575				hypothetical protein
ATCC700743_00270	CDS	999				hypothetical protein
ATCC700743_00271	CDS	570				hypothetical protein
ATCC700743_00272	CDS	1440	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
ATCC700743_00273	CDS	660				hypothetical protein
ATCC700743_00274	CDS	2412	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
ATCC700743_00275	CDS	1254	soxB_1	1.5.3.1		Sarcosine oxidase subunit beta
ATCC700743_00276	CDS	267	soxD_1	1.5.3.1		Sarcosine oxidase subunit delta
ATCC700743_00277	CDS	2886	soxA_1	1.5.3.1		Sarcosine oxidase subunit alpha
ATCC700743_00278	CDS	543				hypothetical protein
ATCC700743_00279	CDS	675				hypothetical protein
ATCC700743_00280	CDS	1212				hypothetical protein
ATCC700743_00281	CDS	486				hypothetical protein
ATCC700743_00282	CDS	561	msuE	1.5.1.38	COG0431	FMN reductase (NADPH)
ATCC700743_00283	CDS	1248	soxC			Dibenzothiophene desulfurization enzyme C
ATCC700743_00284	CDS	807	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ATCC700743_00285	CDS	1338				hypothetical protein
ATCC700743_00286	CDS	1041				hypothetical protein
ATCC700743_00287	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ATCC700743_00288	CDS	927	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ATCC700743_00289	CDS	1104	rutA_2	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
ATCC700743_00290	CDS	1461				hypothetical protein
ATCC700743_00291	CDS	1173	msuD	1.14.14.5	COG2141	Methanesulfonate monooxygenase
ATCC700743_00292	CDS	252				hypothetical protein
ATCC700743_00293	CDS	114				hypothetical protein
ATCC700743_00294	tRNA	76				tRNA-Ala(ggc)
ATCC700743_00295	CDS	387				hypothetical protein
ATCC700743_00296	CDS	1359	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
ATCC700743_00297	CDS	651	cmk	2.7.4.25		Cytidylate kinase
ATCC700743_00298	CDS	1698	rpsA		COG0539	30S ribosomal protein S1
ATCC700743_00299	CDS	1866				hypothetical protein
ATCC700743_00300	CDS	708	polS_1	1.1.1.14		Sorbitol dehydrogenase
ATCC700743_00301	CDS	1581	aruI	4.1.1.75	COG0028	Probable 2-ketoarginine decarboxylase AruI
ATCC700743_00302	CDS	678	betI_1			HTH-type transcriptional regulator BetI
ATCC700743_00303	CDS	849		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
ATCC700743_00304	CDS	816	occP			Octopine permease ATP-binding protein P
ATCC700743_00305	CDS	798	hisJ		COG0834	Histidine-binding periplasmic protein
ATCC700743_00306	CDS	666	hisQ		COG4215	Histidine transport system permease protein HisQ
ATCC700743_00307	CDS	810				hypothetical protein
ATCC700743_00308	CDS	1002	comC	1.1.1.338	COG2055	(2R)-3-sulfolactate dehydrogenase (NADP(+))
ATCC700743_00309	CDS	1137				hypothetical protein
ATCC700743_00310	CDS	957	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
ATCC700743_00311	CDS	453				hypothetical protein
ATCC700743_00312	CDS	978				hypothetical protein
ATCC700743_00313	CDS	1368	ptlI	1.14.13.133	COG2124	Pentalenene oxygenase
ATCC700743_00314	CDS	570	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
ATCC700743_00315	CDS	2631				hypothetical protein
ATCC700743_00316	CDS	2472	gyrB	5.99.1.3		DNA gyrase subunit B
ATCC700743_00317	CDS	1149				hypothetical protein
ATCC700743_00318	CDS	918				hypothetical protein
ATCC700743_00319	CDS	1398	pntB	1.6.1.2	COG1282	NAD(P) transhydrogenase subunit beta
ATCC700743_00320	CDS	426				hypothetical protein
ATCC700743_00321	CDS	1272	pntAA	1.6.1.2	COG3288	NAD(P) transhydrogenase subunit alpha part 1
ATCC700743_00322	CDS	225				hypothetical protein
ATCC700743_00323	CDS	150				hypothetical protein
ATCC700743_00324	CDS	768				hypothetical protein
ATCC700743_00325	CDS	2316				hypothetical protein
ATCC700743_00326	CDS	3480				hypothetical protein
ATCC700743_00327	CDS	534				hypothetical protein
ATCC700743_00328	CDS	612				hypothetical protein
ATCC700743_00329	CDS	927	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ATCC700743_00330	CDS	585				hypothetical protein
ATCC700743_00331	CDS	1791				hypothetical protein
ATCC700743_00332	CDS	1029		1.1.1.301		D-arabitol-phosphate dehydrogenase
ATCC700743_00333	CDS	525				hypothetical protein
ATCC700743_00334	CDS	1110	takP		COG4663	Alpha-keto acid-binding periplasmic protein TakP
ATCC700743_00335	CDS	792	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
ATCC700743_00336	CDS	399				hypothetical protein
ATCC700743_00337	CDS	585				hypothetical protein
ATCC700743_00338	CDS	984		1.1.1.215	COG1052	2-ketogluconate reductase
ATCC700743_00339	CDS	978	cytR_1		COG1609	HTH-type transcriptional repressor CytR
ATCC700743_00340	CDS	1032	ribN_2			Riboflavin transporter
ATCC700743_00341	CDS	423				hypothetical protein
ATCC700743_00342	CDS	873	rhaS_1			HTH-type transcriptional activator RhaS
ATCC700743_00343	CDS	471	slyA_1			Transcriptional regulator SlyA
ATCC700743_00344	CDS	1068	yciC		COG0523	Putative metal chaperone YciC
ATCC700743_00345	CDS	753	cdh	3.6.1.26	COG2134	Probable CDP-diacylglycerol pyrophosphatase
ATCC700743_00346	CDS	975				hypothetical protein
ATCC700743_00347	CDS	456				hypothetical protein
ATCC700743_00348	CDS	459	slyA_2			Transcriptional regulator SlyA
ATCC700743_00349	CDS	453				hypothetical protein
ATCC700743_00350	CDS	1383	hemL2	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 2
ATCC700743_00351	CDS	1401	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
ATCC700743_00352	CDS	1311				hypothetical protein
ATCC700743_00353	CDS	1470				hypothetical protein
ATCC700743_00354	CDS	1266	ttuD	1.1.1.81		Putative hydroxypyruvate reductase
ATCC700743_00355	CDS	504				hypothetical protein
ATCC700743_00356	CDS	1314	guaD	3.5.4.3	COG0402	Guanine deaminase
ATCC700743_00357	CDS	1218				hypothetical protein
ATCC700743_00358	CDS	921	dmlR_1			HTH-type transcriptional regulator DmlR
ATCC700743_00359	CDS	975	rutA_3	1.14.99.46		Pyrimidine monooxygenase RutA
ATCC700743_00360	CDS	1248	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
ATCC700743_00361	CDS	906				hypothetical protein
ATCC700743_00362	CDS	2346	pucD	1.17.1.4	COG1529	Probable xanthine dehydrogenase subunit D
ATCC700743_00363	CDS	1482				hypothetical protein
ATCC700743_00364	CDS	375	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
ATCC700743_00365	CDS	1419				hypothetical protein
ATCC700743_00366	CDS	864	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
ATCC700743_00367	CDS	492	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
ATCC700743_00368	CDS	594				hypothetical protein
ATCC700743_00369	CDS	1986				hypothetical protein
ATCC700743_00370	CDS	1587				hypothetical protein
ATCC700743_00371	CDS	960	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
ATCC700743_00372	CDS	825	ddpC_2		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
ATCC700743_00373	CDS	1656	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
